,POS,PLAYER,Team,WKTS,MAT,INNS,OV,RUNS,BBI,AVG,ECON,SR,4W,5W
98,99,Spencer Johnson,KKR,1,4,4,11.2,133,42/1,133.00,11.73,68.00,0,0
99,100,Mukesh Choudhary,CSK,1,2,2,6.0,71,21/1,71.00,11.83,36.00,0,0
100,101,Anrich Nortje,KKR,1,2,2,7.0,83,23/1,83.00,11.85,42.00,0,0
101,102,Shahbaz Ahmed,LSG,1,3,3,8.3,102,41/1,102.00,12.00,51.00,0,0
102,103,Yash Thakur,PBKS,1,2,2,6.3,79,39/1,79.00,12.15,39.00,0,0
103,104,Marcus Stoinis,PBKS,1,13,9,14.1,175,14/1,175.00,12.35,85.00,0,0
104,105,Shahrukh Khan,GT,1,15,1,1.0,13,13/1,13.00,13.00,6.00,0,0
105,106,V Satyanarayana Penmetsa,MI,1,2,2,4.0,53,40/1,53.00,13.25,24.00,0,0
106,107,Musheer Khan,PBKS,1,1,1,2.0,27,27/1,27.00,13.50,12.00,0,0
107,108,Mujeeb-ur-Rahman,MI,1,1,1,2.0,28,28/1,28.00,14.00,12.00,0,0
